accuracy,auprc,auroc,fn,fp,macro_f1,method,n,negative_count,negative_f1,negative_precision,negative_recall,positive_count,positive_f1,positive_precision,positive_recall,target,tn,tp
0.71875,0.8266943211969675,0.8799019607843137,12,33,0.7128156036855331,combined_proxy,160,102,0.7540983606557378,0.8518518518518519,0.6764705882352942,58,0.6715328467153284,0.5822784810126582,0.7931034482758621,faithfulness_binary,69,46
0.74375,0.8887066505297367,0.9058430989583334,13,28,0.7408241476038087,combined_proxy,160,96,0.768361581920904,0.8395061728395061,0.7083333333333334,64,0.7132867132867134,0.6455696202531646,0.796875,edit_alignment_binary,68,51
0.58125,0.20574579565529136,0.7017457180500659,5,62,0.5153487951534879,combined_proxy,160,138,0.6940639269406392,0.9382716049382716,0.5507246376811594,22,0.3366336633663366,0.21518987341772153,0.7727272727272727,rule_correctness_binary,76,17
0.53125,0.1215517856430767,0.609375,6,69,0.4385964912280702,combined_proxy,160,144,0.6666666666666667,0.9259259259259259,0.5208333333333334,16,0.2105263157894737,0.12658227848101267,0.625,evidence_binary,75,10
0.5159235668789809,0.8919276963783312,0.5636861313868613,68,8,0.44242990654205605,combined_proxy,157,20,0.24,0.15,0.6,137,0.6448598130841121,0.8961038961038961,0.5036496350364964,edit_validity_binary,12,69
0.9333333333333333,1.0,1.0,1,0,0.9333333333333333,combined_reranker_round11,15,7,0.9333333333333333,0.875,1.0,8,0.9333333333333333,1.0,0.875,faithfulness_binary,7,7
0.9333333333333333,1.0,1.0,1,0,0.9333333333333333,combined_reranker_round11,15,7,0.9333333333333333,0.875,1.0,8,0.9333333333333333,1.0,0.875,edit_alignment_binary,7,7
0.6,0.2,0.7142857142857143,0,6,0.48863636363636365,combined_reranker_round11,15,14,0.7272727272727273,1.0,0.5714285714285714,1,0.25,0.14285714285714285,1.0,rule_correctness_binary,8,1
0.4666666666666667,0.1111111111111111,0.39285714285714285,1,7,0.3181818181818182,combined_reranker_round11,15,14,0.6363636363636364,0.875,0.5,1,0.0,0.0,0.0,evidence_binary,7,0
0.6,0.9247291170368095,0.5576923076923077,6,0,0.55,combined_reranker_round11,15,2,0.4,0.25,1.0,13,0.7000000000000001,1.0,0.5384615384615384,edit_validity_binary,2,7
0.64375,0.4298106316592928,0.5086206896551724,57,0,0.40775375024352234,leakage_adjusted_reconstruction,160,102,0.7816091954022989,0.6415094339622641,1.0,58,0.03389830508474576,1.0,0.017241379310344827,faithfulness_binary,102,1
0.60625,0.48166973951182285,0.5078125,63,0,0.3918552036199095,leakage_adjusted_reconstruction,160,96,0.7529411764705882,0.6037735849056604,1.0,64,0.03076923076923077,1.0,0.015625,edit_alignment_binary,96,1
0.85625,0.21056445455374623,0.4963768115942029,22,1,0.4612794612794613,leakage_adjusted_reconstruction,160,138,0.9225589225589226,0.8616352201257862,0.9927536231884058,22,0.0,0.0,0.0,rule_correctness_binary,137,0
0.89375,0.10705645092773002,0.4965277777777778,16,1,0.471947194719472,leakage_adjusted_reconstruction,160,144,0.943894389438944,0.89937106918239,0.9930555555555556,16,0.0,0.0,0.0,evidence_binary,143,0
0.1337579617834395,0.8799204386741948,0.5036496350364964,136,0,0.12088274044795784,leakage_adjusted_reconstruction,157,20,0.22727272727272727,0.1282051282051282,1.0,137,0.014492753623188404,1.0,0.0072992700729927005,edit_validity_binary,20,1
0.5333333333333333,0.49718822843822846,0.5178571428571429,2,5,0.49760765550239233,local_llm_judge,15,7,0.36363636363636365,0.5,0.2857142857142857,8,0.631578947368421,0.5454545454545454,0.75,faithfulness_binary,2,6
0.5333333333333333,0.49718822843822846,0.5178571428571429,2,5,0.49760765550239233,local_llm_judge,15,7,0.36363636363636365,0.5,0.2857142857142857,8,0.631578947368421,0.5454545454545454,0.75,edit_alignment_binary,2,6
0.2,0.08333333333333333,0.10714285714285714,1,11,0.16666666666666666,local_llm_judge,15,14,0.3333333333333333,0.75,0.21428571428571427,1,0.0,0.0,0.0,rule_correctness_binary,3,0
0.3333333333333333,0.25,0.6428571428571429,0,10,0.3055555555555556,local_llm_judge,15,14,0.4444444444444445,1.0,0.2857142857142857,1,0.16666666666666669,0.09090909090909091,1.0,evidence_binary,4,1
0.6,0.8100160523237446,0.34615384615384615,4,2,0.37500000000000006,local_llm_judge,15,2,0.0,0.0,0.0,13,0.7500000000000001,0.8181818181818182,0.6923076923076923,edit_validity_binary,0,9
0.7125,0.600883413160949,0.7670723461798512,2,44,0.7124550711048601,nli_lexical_proxy,160,102,0.7160493827160493,0.9666666666666667,0.5686274509803921,58,0.7088607594936709,0.56,0.9655172413793104,faithfulness_binary,58,56
0.7375,0.6679947089385182,0.7734375,3,39,0.7373358348968106,nli_lexical_proxy,160,96,0.7307692307692308,0.95,0.59375,64,0.7439024390243903,0.61,0.953125,edit_alignment_binary,57,61
0.4875,0.3041189801501515,0.6646903820816864,2,80,0.4568637191588011,nli_lexical_proxy,160,138,0.5858585858585859,0.9666666666666667,0.42028985507246375,22,0.32786885245901637,0.2,0.9090909090909091,rule_correctness_binary,58,20
