method,target,n,accuracy,macro_f1,auroc,auprc,positive_count,negative_count,positive_f1,negative_f1,tp,tn,fp,fn
combined_proxy,edit_alignment_binary,160,0.74375,0.7408241476038087,0.9058430989583334,0.8887066505297367,64,96,0.7132867132867134,0.768361581920904,51,68,28,13
combined_proxy,edit_validity_binary,157,0.5159235668789809,0.44242990654205605,0.5636861313868613,0.8919276963783312,137,20,0.6448598130841121,0.24,69,12,8,68
combined_proxy,evidence_binary,160,0.53125,0.4385964912280702,0.609375,0.1215517856430767,16,144,0.2105263157894737,0.6666666666666667,10,75,69,6
combined_proxy,faithfulness_binary,160,0.71875,0.7128156036855331,0.8799019607843137,0.8266943211969675,58,102,0.6715328467153284,0.7540983606557378,46,69,33,12
combined_proxy,rule_correctness_binary,160,0.58125,0.5153487951534879,0.7017457180500659,0.20574579565529136,22,138,0.3366336633663366,0.6940639269406392,17,76,62,5
leakage_adjusted_reconstruction,edit_alignment_binary,160,0.60625,0.3918552036199095,0.5078125,0.48166973951182285,64,96,0.03076923076923077,0.7529411764705882,1,96,0,63
leakage_adjusted_reconstruction,edit_validity_binary,157,0.1337579617834395,0.12088274044795784,0.5036496350364964,0.8799204386741948,137,20,0.014492753623188404,0.22727272727272727,1,20,0,136
leakage_adjusted_reconstruction,evidence_binary,160,0.89375,0.471947194719472,0.4965277777777778,0.10705645092773002,16,144,0.0,0.943894389438944,0,143,1,16
leakage_adjusted_reconstruction,faithfulness_binary,160,0.64375,0.40775375024352234,0.5086206896551724,0.4298106316592928,58,102,0.03389830508474576,0.7816091954022989,1,102,0,57
leakage_adjusted_reconstruction,rule_correctness_binary,160,0.85625,0.4612794612794613,0.4963768115942029,0.21056445455374623,22,138,0.0,0.9225589225589226,0,137,1,22
local_llm_judge,edit_alignment_binary,15,0.5333333333333333,0.49760765550239233,0.5178571428571429,0.49718822843822846,8,7,0.631578947368421,0.36363636363636365,6,2,5,2
